,commentary,target
0," Siraj to Maharaj, out Bowled!! Maharaj's miserable stay at the crease ends in ultra-miserable fashion. Swung and missed quite a few, chewed up plenty of dot balls when he should have been giving Miller the strike, and now ensures that his partner won't be facing any more deliveries this innings. Went for an ugly heave, Siraj kept it simple, slow and straight, attacking the stumps. Maharaj missed, and saw the off stump ripped out. Maharaj b Siraj 5(13) ",0
1," Thakur to Parnell, out Caught by Shreyas Iyer!! Parnell succumbs to the pressure! With the boundaries drying up, he tries to break the shackles but this is a craftily bowled off-cutter from Shardul. Went fuller a touch as well, inviting the big hit but Parnell could only slice this down to long-off. Iyer didn't have to budge one bit. India are pulling things back superbly in these final 10 overs. Parnell c Shreyas Iyer b Thakur 16(22) ",0
2," Washington Sundar to Markram, out Caught by Dhawan!! Two wickets in quick succession. Poor delivery and Markram has got out to that. Very slow and it takes its time to come to Markram who thrashes it off the back foot, but fails to keep it down, low and to the left of Dhawan at extra-cover who dives and comes up with the ball. Smart catch and a wry smile from Washington Sundar as he is relieved. Meanwhile Markram is furious at getting out to that ball. Markram c Dhawan b Washington Sundar 79(89) [4s-7 6s-1] ",0
3," Kuldeep Yadav to Klaasen, out Caught by Siraj!! Good running catch from long-on. The attempted googly on the stumps, does not turn though, Klaasen makes room to loft inside-out but skews it off a thick inside half, it looks to be falling in no-man's land till Siraj runs in and takes it low down, almost slipped out but he tumbles over and the ball stays intact at the end of his fingertips. Klaasen c Siraj b Kuldeep Yadav 30(26) [4s-2 6s-2] ",0
4," Siraj to R Hendricks, out Caught by Shahbaz Ahmed!! Hendricks has found deep square leg. The move to bring Siraj back has worked. A good length delivery on off-stump, again that short-arm jab from Hendricks but he fails to place it, picks out one of India's best fielders in this lineup. Time for a drink as well after that Hendricks wicket. R Hendricks c Shahbaz Ahmed b Siraj 74(76) [4s-9 6s-1] ",0
5," Shahbaz Ahmed to Janneman Malan, out Lbw!! That looked so out to the naked eye but umpire Virender Sharma surprisingly shakes his head. Shahbaz Ahmed wasa almost pleading for that one and Samson convinces Dhawan to go for the review. A flat good length delivery on middle, Malan closes the face of the bat and tries to turn that to leg, misses, rapped on the back leg and low as well. Not turning big to miss the stumps and it's three reds on ball-tracking. Maiden ODI wicket for Shahbaz Ahmed who is thrilled as he watches it on the big screen and breaks into a celebration. Janneman Malan lbw b Shahbaz Ahmed 25(31) [4s-4] ",0
6," Siraj to de Kock, out Bowled!! Dragged back on. Siraj is leaping around in joy while de Kock has a wry smile as he walks back. Full and wide outside off, makes de Kock reach out to play the square drive, he doesn't get fully across to meet it off the middle of the bat, the thick inside-edge crashes back on to the stumps. He got out that way in the opening T20I and often drags it back on. Big wicket for India. de Kock b Siraj 5(8) [4s-1] ",0
7," Thakur to Miller, FOUR, he missed out on the slot ball first-up but not this time. Slower ball, Miller heaves and didn't middle it that well again. Dragged it off the inside half a fraction, but placed it right between deep square leg and deep mid-wicket ",1
8," Thakur to Miller, FOUR, this is a sledgehammer blow! Shardul did well to get out of the way in time. Tried the yorker but Miller came charging, converted this into a low full toss and bashed it straight back past the bowler. Went to the fence in a jiffy ",1
9," Siraj to Maharaj, byes, FOUR, now this is a comedy of errors! Dhawan and Siraj aren't happy with the call! But it does seem a fair one to be honest. Was another play-and-a-miss from Maharaj, got beaten on the inside edge. Samson threw the ball back to Siraj who then had an angry throw at the non-striker's stumps. Don't think he was trying for a run out there, was more of a frustration there but the throw misses big time and mid-on had no chance. Overthrows given. India are unhappy because they thought the ball was dead. But it's the umpire's job to decide that and they felt it was live ",1
10," Kuldeep Yadav to Miller, FOUR, cracking shot! Just a bit too short, width offered and Miller in this peak form isn't missing out. Rocked back and crashed it through extra cover. Top shot ",1
11," Washington Sundar to Miller, FOUR, cheeky from Miller! Walked across early, forcing Sundar to attack the stumps but this is a bit too straight and flat. All that pace is used for a fine lap sweep, past Samson quite easily and short fine had no chance ",1
