,commentary,target
0,"Shamsi to Samson, 1 run, South Africa win by 9 runs, Shamsi dragged the length back, Samson comes down the pitch and chips the drive to long-on for a single",0
1," Shamsi to Samson, FOUR, drilled, tossed up on off, Samson comes down the pitch, gets close to the ball and then hammers the drive back past the non-striker, runs away to the ropes ",1
2," Shamsi to Samson, no run, no, he can't - two legal deliveries will do it for Shamsi and SA - flighted delivery on middle and Samson can't get under it, drags the sweep past square leg ",0
3," Shamsi to Samson, FOUR, hat-trick of boundaries for Samson. flighted delivery on off, he gets a good stride forward and then clobbers it back over the bowler's head, one bounce and over the ropes. This is turning out to be one excellent knock from Samson, can he finish it off? ",1
4," Shamsi to Samson, FOUR, back-to-back boundaries for Samson, pressure on and Shamsi drops it short - Samson rocks back and thumps the pull past square leg, one bounce and over the ropes ",1
5," Shamsi to Samson, SIX, hammered, Samson is keeping the chase alive - dropped short by Shamsi, Samson rocked back and hammered the pull over mid-wicket, went sailing over into the stands for a maximum ",1
6," Shamsi to Samson, wide, Shamsi drops one short and well down leg, called as a wide ",0
7," Rabada to Ravi Bishnoi, FOUR, streaky and four, on a good length and well wide of off, Bishnoi swings hard and toe-edges it past the keeper, runs away to the ropes in a hurry ",1
8,"Rabada to Ravi Bishnoi, no ball, another swing, another miscue and another catch for Bavuma at cover. Bishnoi backing away and swinging, gets it low on the bat and as he was walking away, the siren rang, signalling that Rabada had overstepped. He will get a free-hit now",0
9,"Rabada to Avesh Khan, out Caught by Bavuma!! South Africa are closing the match in some style - hard length from Rabada, Avesh backed away on the slog, hit low on the bat and it's a steepler for Bavuma, he watches it all along, went reverse cupped and held on. Avesh Khan c Bavuma b Rabada 3(6)",1
10," Rabada to Avesh Khan, no run, short of a good length and well outside off, Avesh swings hard and misses once again ",0
11," Rabada to Avesh Khan, 2 runs, a chance, a big effort from Ngidi, but he spills it as he landed - fuller length delivery outside off, Avesh backed away on the drive, sliced it high and over backward point, Ngidi backpedalled, kept his eyes on the ball and nearly pulled it off ",0
12," Rabada to Avesh Khan, no run, fuller length delivery and holding its line outside off, Avesh swings across the line and missed ",0
13," Rabada to Avesh Khan, no run, short of a good length and just outside off, Avesh backs away on the swing and missed ",0
14," Ngidi to Samson, no run, Ngidi shortens the length outside off, has Samson poking on the steer and beat him on the outside edge ",0
15," Ngidi to Samson, wide, short and wide of off, Samson throws his bat on the cut and missed, called as a wide ",0
16," Ngidi to Avesh Khan, 1 run, short of a length and at the stumps, Avesh hops across and tucks it towards square leg ",0
